name,position,account_official,account_campaign,county_icpsr,state_icpsr,district,state_abbrev,party_code,born,nominate_dim1,nominate_dim2,career_start,career_end,race,population_density,region
Andy Kim,Rep,RepAndyKimNJ,AndyKimNJ,21937,12,3,NJ,100,1982,-0.284,0.47,20190103,NA,,,
Ron Kind,Rep,RepRonKind,KindforCongress,29769,25,3,WI,100,1963,-0.262,-0.083,19970103,NA,,,
Peter T. King,Rep,RepPeteKing,petekingcpg,29375,13,2,NY,200,1944,0.26,-0.033,19930103,NA,,,
Steve King,Rep,SteveKingIA,,20325,31,4,IA,200,1949,0.61,0.192,20030103,NA,,,
Adam Kinzinger,Rep,RepKinzinger,AdamKinzinger,21128,21,16,IL,200,1978,0.273,0.314,20110103,NA,,,
Ann Kirkpatrick,Rep,RepKirkpatrick,Ann_Kirkpatrick,20902,61,2,AZ,100,1950,-0.162,-0.006,20190103,NA,,,
Raja Krishnamoorthi,Rep,congressmanraja,RajaForCongress,21730,21,8,IL,100,1973,-0.311,-0.112,20170103,NA,,,
Ann McLane Kuster,Rep,RepAnnieKuster,Ann McLane Kuster,21340,4,2,NH,100,1956,-0.254,-0.133,20130103,NA,,,
David Kustoff,Rep,repdavidkustoff,DavidKustoff,21731,54,8,TN,200,1966,0.534,0.25,20170103,NA,,,
Darin LaHood,Rep,RepLaHood,ElectLaHood,21562,21,18,IL,200,1968,0.464,0.143,20150910,NA,,,
Doug LaMalfa,Rep,RepLaMalfa,DougLaMalfa,21302,71,1,CA,200,1960,0.533,0.109,20130103,NA,,,
Conor Lamb,Rep,RepConorLamb,ConorLambPA,21756,14,17,PA,100,1984,-0.117,0.128,20180313,NA,,,
Doug Lamborn,Rep,RepDLamborn,,20704,62,5,CO,200,1954,0.68,0.198,20070103,NA,,,
James Langevin,Rep,JimLangevin,LangevinForRI,20136,5,2,RI,100,1964,-0.376,0.108,20010103,NA,,,
Rick Larsen,Rep,RepRickLarsen,larsenrick,20145,73,2,WA,100,1965,-0.365,0.189,20010103,NA,,,
John B. Larson,Rep,RepJohnLarson,JohnLarsonCT,29908,1,1,CT,100,1948,-0.398,-0.054,19990103,NA,,,
Bob Latta,Rep,boblatta,latta4congress,20755,24,5,OH,200,1956,0.519,0.257,20071211,NA,,,
Brenda Lawrence,Rep,RepLawrence,BrendaLLawrence,21530,23,14,MI,100,1954,-0.444,-0.038,20150103,NA,,,
Al Lawson,Rep,RepAlLawsonJr,AlLawsonJr,21732,43,5,FL,100,1948,-0.257,0.095,20170103,NA,,,
Barbara Lee,Rep,RepBarbaraLee,BLeeForCongress,29778,71,13,CA,100,1946,-0.683,-0.587,19980407,NA,,,
Susie Lee,Rep,RepSusieLee,SusieLeeNV,21938,65,3,NV,100,1966,-0.282,0.359,20190103,NA,,,
Debbie Lesko,Rep,RepDLesko,DebbieLesko,21757,61,8,AZ,200,1958,0.605,-0.053,20180424,NA,,,
Andy Levin,Rep,RepAndyLevin,Andy_Levin,21940,23,9,MI,100,1960,-0.506,-0.526,20190103,NA,,,
Mike Levin,Rep,RepMikeLevin,MikeLevin,21939,71,49,CA,100,1978,-0.395,0.107,20190103,NA,,,
